[ 50.67%] Iter 0760/1500 | loss = 0.0038
[ 51.33%] Iter 0770/1500 | loss = 0.0037
[ 52.00%] Iter 0780/1500 | loss = 0.0036
[ 52.67%] Iter 0790/1500 | loss = 0.0038
[ 53.33%] Iter 0800/1500 | loss = 0.0038
[ 54.00%] Iter 0810/1500 | loss = 0.0041
[ 54.67%] Iter 0820/1500 | loss = 0.0039
[ 55.33%] Iter 0830/1500 | loss = 0.0041
[ 56.00%] Iter 0840/1500 | loss = 0.0043
[ 56.67%] Iter 0850/1500 | loss = 0.0040
[ 57.33%] Iter 0860/1500 | loss = 0.0041
[ 58.00%] Iter 0870/1500 | loss = 0.0041
[ 58.67%] Iter 0880/1500 | loss = 0.0038
[ 59.33%] Iter 0890/1500 | loss = 0.0037
[ 60.00%] Iter 0900/1500 | loss = 0.0038
[ 60.67%] Iter 0910/1500 | loss = 0.0039
[ 61.33%] Iter 0920/1500 | loss = 0.0042
[ 62.00%] Iter 0930/1500 | loss = 0.0038
[ 62.67%] Iter 0940/1500 | loss = 0.0041
[ 63.33%] Iter 0950/1500 | loss = 0.0038
[ 64.00%] Iter 0960/1500 | loss = 0.0041
[ 64.67%] Iter 0970/1500 | loss = 0.0040
[ 65.33%] Iter 0980/1500 | loss = 0.0038
[ 66.00%] Iter 0990/1500 | loss = 0.0039
[ 66.67%] Iter 1000/1500 | loss = 0.0040
[ 67.33%] Iter 1010/1500 | loss = 0.0041
[ 68.00%] Iter 1020/1500 | loss = 0.0036
[ 68.67%] Iter 1030/1500 | loss = 0.0041
[ 69.33%] Iter 1040/1500 | loss = 0.0042
[ 70.00%] Iter 1050/1500 | loss = 0.0039
[ 70.67%] Iter 1060/1500 | loss = 0.0042
[ 71.33%] Iter 1070/1500 | loss = 0.0040
[ 72.00%] Iter 1080/1500 | loss = 0.0038
[ 72.67%] Iter 1090/1500 | loss = 0.0040
[ 73.33%] Iter 1100/1500 | loss = 0.0041
[ 74.00%] Iter 1110/1500 | loss = 0.0034
[ 74.67%] Iter 1120/1500 | loss = 0.0041
[ 75.33%] Iter 1130/1500 | loss = 0.0039
[ 76.00%] Iter 1140/1500 | loss = 0.0038
[ 76.67%] Iter 1150/1500 | loss = 0.0040
[ 77.33%] Iter 1160/1500 | loss = 0.0039
[ 78.00%] Iter 1170/1500 | loss = 0.0038
[ 78.67%] Iter 1180/1500 | loss = 0.0040
[ 79.33%] Iter 1190/1500 | loss = 0.0041
[ 80.00%] Iter 1200/1500 | loss = 0.0040
[ 80.67%] Iter 1210/1500 | loss = 0.0036
[ 81.33%] Iter 1220/1500 | loss = 0.0040
[ 82.00%] Iter 1230/1500 | loss = 0.0041
[ 82.67%] Iter 1240/1500 | loss = 0.0040
[ 83.33%] Iter 1250/1500 | loss = 0.0034
[ 84.00%] Iter 1260/1500 | loss = 0.0036
[ 84.67%] Iter 1270/1500 | loss = 0.0045
[ 85.33%] Iter 1280/1500 | loss = 0.0038
[ 86.00%] Iter 1290/1500 | loss = 0.0038
[ 86.67%] Iter 1300/1500 | loss = 0.0039
[ 87.33%] Iter 1310/1500 | loss = 0.0037
[ 88.00%] Iter 1320/1500 | loss = 0.0035
[ 88.67%] Iter 1330/1500 | loss = 0.0037
[ 89.33%] Iter 1340/1500 | loss = 0.0038
[ 90.00%] Iter 1350/1500 | loss = 0.0038
[ 90.67%] Iter 1360/1500 | loss = 0.0038
[ 91.33%] Iter 1370/1500 | loss = 0.0038
[ 92.00%] Iter 1380/1500 | loss = 0.0038
[ 92.67%] Iter 1390/1500 | loss = 0.0038
[ 93.33%] Iter 1400/1500 | loss = 0.0038
[ 94.00%] Iter 1410/1500 | loss = 0.0040
[ 94.67%] Iter 1420/1500 | loss = 0.0038
[ 95.33%] Iter 1430/1500 | loss = 0.0038
[ 96.00%] Iter 1440/1500 | loss = 0.0040
[ 96.67%] Iter 1450/1500 | loss = 0.0037
[ 97.33%] Iter 1460/1500 | loss = 0.0040
[ 98.00%] Iter 1470/1500 | loss = 0.0041
[ 98.67%] Iter 1480/1500 | loss = 0.0041
[ 99.33%] Iter 1490/1500 | loss = 0.0040
2026-04-26 22:21:50: Evaluate at iteration 1500
