[ 15.50%] Iter 0620/4000 | loss = 0.0038
[ 15.75%] Iter 0630/4000 | loss = 0.0038
[ 16.00%] Iter 0640/4000 | loss = 0.0033
[ 16.25%] Iter 0650/4000 | loss = 0.0034
[ 16.50%] Iter 0660/4000 | loss = 0.0033
[ 16.75%] Iter 0670/4000 | loss = 0.0038
[ 17.00%] Iter 0680/4000 | loss = 0.0034
[ 17.25%] Iter 0690/4000 | loss = 0.0039
[ 17.50%] Iter 0700/4000 | loss = 0.0035
[ 17.75%] Iter 0710/4000 | loss = 0.0032
[ 18.00%] Iter 0720/4000 | loss = 0.0036
[ 18.25%] Iter 0730/4000 | loss = 0.0034
[ 18.50%] Iter 0740/4000 | loss = 0.0035
[ 18.75%] Iter 0750/4000 | loss = 0.0039
[ 19.00%] Iter 0760/4000 | loss = 0.0038
[ 19.25%] Iter 0770/4000 | loss = 0.0035
[ 19.50%] Iter 0780/4000 | loss = 0.0030
[ 19.75%] Iter 0790/4000 | loss = 0.0035
[ 20.00%] Iter 0800/4000 | loss = 0.0027
[ 20.25%] Iter 0810/4000 | loss = 0.0036
[ 20.50%] Iter 0820/4000 | loss = 0.0026
[ 20.75%] Iter 0830/4000 | loss = 0.0033
[ 21.00%] Iter 0840/4000 | loss = 0.0044
[ 21.25%] Iter 0850/4000 | loss = 0.0033
[ 21.50%] Iter 0860/4000 | loss = 0.0039
[ 21.75%] Iter 0870/4000 | loss = 0.0030
[ 22.00%] Iter 0880/4000 | loss = 0.0039
[ 22.25%] Iter 0890/4000 | loss = 0.0037
[ 22.50%] Iter 0900/4000 | loss = 0.0039
[ 22.75%] Iter 0910/4000 | loss = 0.0032
[ 23.00%] Iter 0920/4000 | loss = 0.0038
[ 23.25%] Iter 0930/4000 | loss = 0.0038
[ 23.50%] Iter 0940/4000 | loss = 0.0032
[ 23.75%] Iter 0950/4000 | loss = 0.0031
[ 24.00%] Iter 0960/4000 | loss = 0.0044
[ 24.25%] Iter 0970/4000 | loss = 0.0043
[ 24.50%] Iter 0980/4000 | loss = 0.0030
[ 24.75%] Iter 0990/4000 | loss = 0.0031
[ 25.00%] Iter 1000/4000 | loss = 0.0034
[ 25.25%] Iter 1010/4000 | loss = 0.0038
[ 25.50%] Iter 1020/4000 | loss = 0.0031
[ 25.75%] Iter 1030/4000 | loss = 0.0036
[ 26.00%] Iter 1040/4000 | loss = 0.0031
[ 26.25%] Iter 1050/4000 | loss = 0.0029
[ 26.50%] Iter 1060/4000 | loss = 0.0043
[ 26.75%] Iter 1070/4000 | loss = 0.0032
[ 27.00%] Iter 1080/4000 | loss = 0.0034
[ 27.25%] Iter 1090/4000 | loss = 0.0033
[ 27.50%] Iter 1100/4000 | loss = 0.0033
[ 27.75%] Iter 1110/4000 | loss = 0.0036
[ 28.00%] Iter 1120/4000 | loss = 0.0037
[ 28.25%] Iter 1130/4000 | loss = 0.0030
[ 28.50%] Iter 1140/4000 | loss = 0.0028
[ 28.75%] Iter 1150/4000 | loss = 0.0029
[ 29.00%] Iter 1160/4000 | loss = 0.0044
[ 29.25%] Iter 1170/4000 | loss = 0.0040
[ 29.50%] Iter 1180/4000 | loss = 0.0041
[ 29.75%] Iter 1190/4000 | loss = 0.0032
[ 30.00%] Iter 1200/4000 | loss = 0.0033
[ 30.25%] Iter 1210/4000 | loss = 0.0037
[ 30.50%] Iter 1220/4000 | loss = 0.0036
[ 30.75%] Iter 1230/4000 | loss = 0.0038
[ 31.00%] Iter 1240/4000 | loss = 0.0033
[ 31.25%] Iter 1250/4000 | loss = 0.0036
[ 31.50%] Iter 1260/4000 | loss = 0.0041
[ 31.75%] Iter 1270/4000 | loss = 0.0036
[ 32.00%] Iter 1280/4000 | loss = 0.0029
[ 32.25%] Iter 1290/4000 | loss = 0.0033
[ 32.50%] Iter 1300/4000 | loss = 0.0038
[ 32.75%] Iter 1310/4000 | loss = 0.0032
[ 33.00%] Iter 1320/4000 | loss = 0.0035
[ 33.25%] Iter 1330/4000 | loss = 0.0035
[ 33.50%] Iter 1340/4000 | loss = 0.0037
[ 33.75%] Iter 1350/4000 | loss = 0.0032
[ 34.00%] Iter 1360/4000 | loss = 0.0038
[ 34.25%] Iter 1370/4000 | loss = 0.0031
[ 34.50%] Iter 1380/4000 | loss = 0.0037
[ 34.75%] Iter 1390/4000 | loss = 0.0032
[ 35.00%] Iter 1400/4000 | loss = 0.0031
[ 35.25%] Iter 1410/4000 | loss = 0.0033
[ 35.50%] Iter 1420/4000 | loss = 0.0031
[ 35.75%] Iter 1430/4000 | loss = 0.0035
[ 36.00%] Iter 1440/4000 | loss = 0.0035
[ 36.25%] Iter 1450/4000 | loss = 0.0033
[ 36.50%] Iter 1460/4000 | loss = 0.0035
[ 36.75%] Iter 1470/4000 | loss = 0.0029
[ 37.00%] Iter 1480/4000 | loss = 0.0038
[ 37.25%] Iter 1490/4000 | loss = 0.0031
[ 37.50%] Iter 1500/4000 | loss = 0.0033
[ 37.75%] Iter 1510/4000 | loss = 0.0025
[ 38.00%] Iter 1520/4000 | loss = 0.0033
[ 38.25%] Iter 1530/4000 | loss = 0.0042
[ 38.50%] Iter 1540/4000 | loss = 0.0032
[ 38.75%] Iter 1550/4000 | loss = 0.0046
[ 39.00%] Iter 1560/4000 | loss = 0.0031
[ 39.25%] Iter 1570/4000 | loss = 0.0044
[ 39.50%] Iter 1580/4000 | loss = 0.0036
[ 39.75%] Iter 1590/4000 | loss = 0.0039
[ 40.00%] Iter 1600/4000 | loss = 0.0037
[ 40.25%] Iter 1610/4000 | loss = 0.0031
[ 40.50%] Iter 1620/4000 | loss = 0.0033
[ 40.75%] Iter 1630/4000 | loss = 0.0032
[ 41.00%] Iter 1640/4000 | loss = 0.0040
[ 41.25%] Iter 1650/4000 | loss = 0.0033
[ 41.50%] Iter 1660/4000 | loss = 0.0040
[ 41.75%] Iter 1670/4000 | loss = 0.0030
[ 42.00%] Iter 1680/4000 | loss = 0.0030
[ 42.25%] Iter 1690/4000 | loss = 0.0032
[ 42.50%] Iter 1700/4000 | loss = 0.0036
[ 42.75%] Iter 1710/4000 | loss = 0.0038
[ 43.00%] Iter 1720/4000 | loss = 0.0034
[ 43.25%] Iter 1730/4000 | loss = 0.0043
[ 43.50%] Iter 1740/4000 | loss = 0.0032
[ 43.75%] Iter 1750/4000 | loss = 0.0033
[ 44.00%] Iter 1760/4000 | loss = 0.0031
[ 44.25%] Iter 1770/4000 | loss = 0.0034
[ 44.50%] Iter 1780/4000 | loss = 0.0033
[ 44.75%] Iter 1790/4000 | loss = 0.0037
[ 45.00%] Iter 1800/4000 | loss = 0.0040
[ 45.25%] Iter 1810/4000 | loss = 0.0034
[ 45.50%] Iter 1820/4000 | loss = 0.0030
[ 45.75%] Iter 1830/4000 | loss = 0.0028
[ 46.00%] Iter 1840/4000 | loss = 0.0041
[ 46.25%] Iter 1850/4000 | loss = 0.0040
[ 46.50%] Iter 1860/4000 | loss = 0.0035
[ 46.75%] Iter 1870/4000 | loss = 0.0035
[ 47.00%] Iter 1880/4000 | loss = 0.0031
[ 47.25%] Iter 1890/4000 | loss = 0.0031
[ 47.50%] Iter 1900/4000 | loss = 0.0028
[ 47.75%] Iter 1910/4000 | loss = 0.0033
[ 48.00%] Iter 1920/4000 | loss = 0.0035
[ 48.25%] Iter 1930/4000 | loss = 0.0028
[ 48.50%] Iter 1940/4000 | loss = 0.0033
[ 48.75%] Iter 1950/4000 | loss = 0.0029
[ 49.00%] Iter 1960/4000 | loss = 0.0048
[ 49.25%] Iter 1970/4000 | loss = 0.0042
[ 49.50%] Iter 1980/4000 | loss = 0.0038
[ 49.75%] Iter 1990/4000 | loss = 0.0026
[ 50.00%] Iter 2000/4000 | loss = 0.0031
[ 50.25%] Iter 2010/4000 | loss = 0.0044
[ 50.50%] Iter 2020/4000 | loss = 0.0035
[ 50.75%] Iter 2030/4000 | loss = 0.0030
[ 51.00%] Iter 2040/4000 | loss = 0.0041
[ 51.25%] Iter 2050/4000 | loss = 0.0034
[ 51.50%] Iter 2060/4000 | loss = 0.0036
[ 51.75%] Iter 2070/4000 | loss = 0.0038
[ 52.00%] Iter 2080/4000 | loss = 0.0034
[ 52.25%] Iter 2090/4000 | loss = 0.0032
[ 52.50%] Iter 2100/4000 | loss = 0.0047
[ 52.75%] Iter 2110/4000 | loss = 0.0038
[ 53.00%] Iter 2120/4000 | loss = 0.0034
[ 53.25%] Iter 2130/4000 | loss = 0.0041
[ 53.50%] Iter 2140/4000 | loss = 0.0030
[ 53.75%] Iter 2150/4000 | loss = 0.0031
[ 54.00%] Iter 2160/4000 | loss = 0.0035
[ 54.25%] Iter 2170/4000 | loss = 0.0033
[ 54.50%] Iter 2180/4000 | loss = 0.0030
[ 54.75%] Iter 2190/4000 | loss = 0.0034
[ 55.00%] Iter 2200/4000 | loss = 0.0037
[ 55.25%] Iter 2210/4000 | loss = 0.0033
[ 55.50%] Iter 2220/4000 | loss = 0.0039
[ 55.75%] Iter 2230/4000 | loss = 0.0043
[ 56.00%] Iter 2240/4000 | loss = 0.0033
[ 56.25%] Iter 2250/4000 | loss = 0.0030
[ 56.50%] Iter 2260/4000 | loss = 0.0035
[ 56.75%] Iter 2270/4000 | loss = 0.0027
[ 57.00%] Iter 2280/4000 | loss = 0.0037
[ 57.25%] Iter 2290/4000 | loss = 0.0038
[ 57.50%] Iter 2300/4000 | loss = 0.0035
[ 57.75%] Iter 2310/4000 | loss = 0.0035
[ 58.00%] Iter 2320/4000 | loss = 0.0031
[ 58.25%] Iter 2330/4000 | loss = 0.0033
[ 58.50%] Iter 2340/4000 | loss = 0.0034
[ 58.75%] Iter 2350/4000 | loss = 0.0042
[ 59.00%] Iter 2360/4000 | loss = 0.0039
[ 59.25%] Iter 2370/4000 | loss = 0.0032
[ 59.50%] Iter 2380/4000 | loss = 0.0045
[ 59.75%] Iter 2390/4000 | loss = 0.0030
[ 60.00%] Iter 2400/4000 | loss = 0.0031
[ 60.25%] Iter 2410/4000 | loss = 0.0034
[ 60.50%] Iter 2420/4000 | loss = 0.0033
[ 60.75%] Iter 2430/4000 | loss = 0.0039
[ 61.00%] Iter 2440/4000 | loss = 0.0043
[ 61.25%] Iter 2450/4000 | loss = 0.0033
[ 61.50%] Iter 2460/4000 | loss = 0.0039
[ 61.75%] Iter 2470/4000 | loss = 0.0039
[ 62.00%] Iter 2480/4000 | loss = 0.0029
[ 62.25%] Iter 2490/4000 | loss = 0.0027
[ 62.50%] Iter 2500/4000 | loss = 0.0033
[ 62.75%] Iter 2510/4000 | loss = 0.0038
[ 63.00%] Iter 2520/4000 | loss = 0.0032
[ 63.25%] Iter 2530/4000 | loss = 0.0027
[ 63.50%] Iter 2540/4000 | loss = 0.0037
[ 63.75%] Iter 2550/4000 | loss = 0.0031
[ 64.00%] Iter 2560/4000 | loss = 0.0035
[ 64.25%] Iter 2570/4000 | loss = 0.0038
[ 64.50%] Iter 2580/4000 | loss = 0.0038
[ 64.75%] Iter 2590/4000 | loss = 0.0033
[ 65.00%] Iter 2600/4000 | loss = 0.0034
[ 65.25%] Iter 2610/4000 | loss = 0.0030
[ 65.50%] Iter 2620/4000 | loss = 0.0032
[ 65.75%] Iter 2630/4000 | loss = 0.0034
[ 66.00%] Iter 2640/4000 | loss = 0.0034
[ 66.25%] Iter 2650/4000 | loss = 0.0031
[ 66.50%] Iter 2660/4000 | loss = 0.0035
[ 66.75%] Iter 2670/4000 | loss = 0.0027
[ 67.00%] Iter 2680/4000 | loss = 0.0034
[ 67.25%] Iter 2690/4000 | loss = 0.0036
[ 67.50%] Iter 2700/4000 | loss = 0.0034
[ 67.75%] Iter 2710/4000 | loss = 0.0025
[ 68.00%] Iter 2720/4000 | loss = 0.0031
[ 68.25%] Iter 2730/4000 | loss = 0.0029
[ 68.50%] Iter 2740/4000 | loss = 0.0031
[ 68.75%] Iter 2750/4000 | loss = 0.0029
[ 69.00%] Iter 2760/4000 | loss = 0.0037
[ 69.25%] Iter 2770/4000 | loss = 0.0035
[ 69.50%] Iter 2780/4000 | loss = 0.0039
[ 69.75%] Iter 2790/4000 | loss = 0.0028
[ 70.00%] Iter 2800/4000 | loss = 0.0031
[ 70.25%] Iter 2810/4000 | loss = 0.0028
[ 70.50%] Iter 2820/4000 | loss = 0.0043
[ 70.75%] Iter 2830/4000 | loss = 0.0034
[ 71.00%] Iter 2840/4000 | loss = 0.0030
[ 71.25%] Iter 2850/4000 | loss = 0.0029
[ 71.50%] Iter 2860/4000 | loss = 0.0028
[ 71.75%] Iter 2870/4000 | loss = 0.0033
[ 72.00%] Iter 2880/4000 | loss = 0.0026
[ 72.25%] Iter 2890/4000 | loss = 0.0033
[ 72.50%] Iter 2900/4000 | loss = 0.0034
[ 72.75%] Iter 2910/4000 | loss = 0.0028
[ 73.00%] Iter 2920/4000 | loss = 0.0031
[ 73.25%] Iter 2930/4000 | loss = 0.0032
[ 73.50%] Iter 2940/4000 | loss = 0.0033
[ 73.75%] Iter 2950/4000 | loss = 0.0038
[ 74.00%] Iter 2960/4000 | loss = 0.0031
[ 74.25%] Iter 2970/4000 | loss = 0.0036
[ 74.50%] Iter 2980/4000 | loss = 0.0037
[ 74.75%] Iter 2990/4000 | loss = 0.0032
[ 75.00%] Iter 3000/4000 | loss = 0.0036
[ 75.25%] Iter 3010/4000 | loss = 0.0028
[ 75.50%] Iter 3020/4000 | loss = 0.0046
[ 75.75%] Iter 3030/4000 | loss = 0.0052
[ 76.00%] Iter 3040/4000 | loss = 0.0034
[ 76.25%] Iter 3050/4000 | loss = 0.0037
[ 76.50%] Iter 3060/4000 | loss = 0.0034
[ 76.75%] Iter 3070/4000 | loss = 0.0026
[ 77.00%] Iter 3080/4000 | loss = 0.0033
[ 77.25%] Iter 3090/4000 | loss = 0.0030
[ 77.50%] Iter 3100/4000 | loss = 0.0032
[ 77.75%] Iter 3110/4000 | loss = 0.0036
[ 78.00%] Iter 3120/4000 | loss = 0.0036
[ 78.25%] Iter 3130/4000 | loss = 0.0029
[ 78.50%] Iter 3140/4000 | loss = 0.0030
[ 78.75%] Iter 3150/4000 | loss = 0.0035
[ 79.00%] Iter 3160/4000 | loss = 0.0038
[ 79.25%] Iter 3170/4000 | loss = 0.0036
[ 79.50%] Iter 3180/4000 | loss = 0.0031
[ 79.75%] Iter 3190/4000 | loss = 0.0049
[ 80.00%] Iter 3200/4000 | loss = 0.0032
[ 80.25%] Iter 3210/4000 | loss = 0.0042
[ 80.50%] Iter 3220/4000 | loss = 0.0030
[ 80.75%] Iter 3230/4000 | loss = 0.0038
[ 81.00%] Iter 3240/4000 | loss = 0.0035
[ 81.25%] Iter 3250/4000 | loss = 0.0032
[ 81.50%] Iter 3260/4000 | loss = 0.0032
[ 81.75%] Iter 3270/4000 | loss = 0.0029
[ 82.00%] Iter 3280/4000 | loss = 0.0036
[ 82.25%] Iter 3290/4000 | loss = 0.0029
[ 82.50%] Iter 3300/4000 | loss = 0.0032
[ 82.75%] Iter 3310/4000 | loss = 0.0030
[ 83.00%] Iter 3320/4000 | loss = 0.0033
[ 83.25%] Iter 3330/4000 | loss = 0.0037
[ 83.50%] Iter 3340/4000 | loss = 0.0035
[ 83.75%] Iter 3350/4000 | loss = 0.0037
[ 84.00%] Iter 3360/4000 | loss = 0.0029
[ 84.25%] Iter 3370/4000 | loss = 0.0033
[ 84.50%] Iter 3380/4000 | loss = 0.0036
[ 84.75%] Iter 3390/4000 | loss = 0.0029
[ 85.00%] Iter 3400/4000 | loss = 0.0029
[ 85.25%] Iter 3410/4000 | loss = 0.0030
[ 85.50%] Iter 3420/4000 | loss = 0.0032
[ 85.75%] Iter 3430/4000 | loss = 0.0027
[ 86.00%] Iter 3440/4000 | loss = 0.0032
[ 86.25%] Iter 3450/4000 | loss = 0.0035
[ 86.50%] Iter 3460/4000 | loss = 0.0040
[ 86.75%] Iter 3470/4000 | loss = 0.0035
[ 87.00%] Iter 3480/4000 | loss = 0.0045
[ 87.25%] Iter 3490/4000 | loss = 0.0036
[ 87.50%] Iter 3500/4000 | loss = 0.0036
[ 87.75%] Iter 3510/4000 | loss = 0.0038
[ 88.00%] Iter 3520/4000 | loss = 0.0040
[ 88.25%] Iter 3530/4000 | loss = 0.0033
[ 88.50%] Iter 3540/4000 | loss = 0.0042
[ 88.75%] Iter 3550/4000 | loss = 0.0034
[ 89.00%] Iter 3560/4000 | loss = 0.0035
[ 89.25%] Iter 3570/4000 | loss = 0.0033
[ 89.50%] Iter 3580/4000 | loss = 0.0029
[ 89.75%] Iter 3590/4000 | loss = 0.0041
[ 90.00%] Iter 3600/4000 | loss = 0.0036
[ 90.25%] Iter 3610/4000 | loss = 0.0034
[ 90.50%] Iter 3620/4000 | loss = 0.0034
[ 90.75%] Iter 3630/4000 | loss = 0.0027
[ 91.00%] Iter 3640/4000 | loss = 0.0027
[ 91.25%] Iter 3650/4000 | loss = 0.0036
[ 91.50%] Iter 3660/4000 | loss = 0.0035
[ 91.75%] Iter 3670/4000 | loss = 0.0034
[ 92.00%] Iter 3680/4000 | loss = 0.0032
[ 92.25%] Iter 3690/4000 | loss = 0.0038
[ 92.50%] Iter 3700/4000 | loss = 0.0031
[ 92.75%] Iter 3710/4000 | loss = 0.0028
[ 93.00%] Iter 3720/4000 | loss = 0.0031
[ 93.25%] Iter 3730/4000 | loss = 0.0024
[ 93.50%] Iter 3740/4000 | loss = 0.0029
[ 93.75%] Iter 3750/4000 | loss = 0.0030
[ 94.00%] Iter 3760/4000 | loss = 0.0043
[ 94.25%] Iter 3770/4000 | loss = 0.0035
[ 94.50%] Iter 3780/4000 | loss = 0.0039
[ 94.75%] Iter 3790/4000 | loss = 0.0030
[ 95.00%] Iter 3800/4000 | loss = 0.0029
[ 95.25%] Iter 3810/4000 | loss = 0.0027
[ 95.50%] Iter 3820/4000 | loss = 0.0033
[ 95.75%] Iter 3830/4000 | loss = 0.0033
[ 96.00%] Iter 3840/4000 | loss = 0.0029
[ 96.25%] Iter 3850/4000 | loss = 0.0027
[ 96.50%] Iter 3860/4000 | loss = 0.0036
[ 96.75%] Iter 3870/4000 | loss = 0.0033
[ 97.00%] Iter 3880/4000 | loss = 0.0031
[ 97.25%] Iter 3890/4000 | loss = 0.0039
[ 97.50%] Iter 3900/4000 | loss = 0.0033
[ 97.75%] Iter 3910/4000 | loss = 0.0028
[ 98.00%] Iter 3920/4000 | loss = 0.0027
[ 98.25%] Iter 3930/4000 | loss = 0.0034
[ 98.50%] Iter 3940/4000 | loss = 0.0034
[ 98.75%] Iter 3950/4000 | loss = 0.0032
[ 99.00%] Iter 3960/4000 | loss = 0.0034
[ 99.25%] Iter 3970/4000 | loss = 0.0026
[ 99.50%] Iter 3980/4000 | loss = 0.0039
[ 99.75%] Iter 3990/4000 | loss = 0.0033
2026-05-03 11:48:10: Evaluate at iteration 4000
[Eval] model=PointNet | round 1/10
[2026-05-03 11:50:52] Evaluate_00: epoch = 0500 train time = 162 s train loss = 0.011967 train acc = 1.0000, test acc = 0.6985
[Eval] model=PointNet | round 2/10
[2026-05-03 11:53:27] Evaluate_01: epoch = 0500 train time = 154 s train loss = 0.009591 train acc = 1.0000, test acc = 0.6998
[Eval] model=PointNet | round 3/10
[2026-05-03 11:56:00] Evaluate_02: epoch = 0500 train time = 153 s train loss = 0.009233 train acc = 1.0000, test acc = 0.6949
[Eval] model=PointNet | round 4/10
[2026-05-03 11:58:32] Evaluate_03: epoch = 0500 train time = 151 s train loss = 0.011649 train acc = 1.0000, test acc = 0.6981
[Eval] model=PointNet | round 5/10
[2026-05-03 12:01:03] Evaluate_04: epoch = 0500 train time = 150 s train loss = 0.014091 train acc = 1.0000, test acc = 0.6892
[Eval] model=PointNet | round 6/10
